site_number,location_description,site_type,directory,map_reference,latitude,longitude,flow_file_location,has_invalid_coordinate
970,WARRIGAL/HIGH ST RD,INT,Melway,060G10,-37.86703,145.09159,WARRIGAL_RD N of HIGH STREET_RD,False
2000,BURWOOD HWY/WARRIGAL,INT,Melway,060H06,-37.8516827,145.0943457,WARRIGAL_RD N of TOORAK_RD,False
2200,MAROONDAH/UNION,INT,Melway,046H08,-37.81631,145.09812,UNION_RD N of MAROONDAH_HWY,False
2820,CHANDLER HWY/PRINCESS ST,INT,Melway,045C02,-37.79477,145.03077,EARL_ST SE of PRINCESS_ST,False
2825,EASTERN/BURKE ON RAMP,INT,Melway,031K12,-37.78661,145.06202,BURKE_RD S of EASTERN_FWY,False
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT,Melway,032D11,-37.78093,145.07733,BULLEEN_RD N of THOMPSONS_RD,False
2846,MONASH/HIGH/WILLS,INT,Melway,059J08,-37.8612671,145.058038,S.E.ARTERIAL N OF HIGH_ST,False
3001,BARKERS/CHURCH/HIGH,INT,Melway,045A08,-37.81441,145.02243,HIGH_ST NE of BARKERS_RD,False
3002,BARKERS/DENMARK/POWER,INT,Melway,045B08,-37.81489,145.02663,DENMARK_ST N of BARKERS_RD,False
3120,BURKE/CANTERBURY,INT,Melway,045J10,-37.82264,145.05734,BURKE_RD N of CANTERBURY_RD,False
3122,CANTERBURY/STANHOPE,INT,Melway,046A10,-37.82379,145.06466,CANTERBURY_RD E of STANHOPE_GV,False
3126,CANTERBURY/WARRIGAL,INT,Melway,046H11,-37.82778,145.09885,CANTERBURY_RD E of WARRIGAL_RD,False
3127,CANTERBURY/BALWYN,INT,Melway,046D11,-37.82506,145.078,BALWYN_RD N of CANTERBURY_RD,False
3180,DONCASTER/BALWYN,INT,Melway,046E03,-37.79611,145.08372,DONCASTER_RD E of BALWYN_RD,False
3662,HIGH/DENMARK/PRINCESS/S'PARK,INT,Melway,045C06,-37.80876,145.02757,PRINCESS_ST N of HIGH_ST,False
3682,WARRIGAL/RIVERSDALE,INT,Melway,060H02,-37.83695,145.09699,WARRIGAL_RD N OF RIVERSDALE_RD,False
3685,WARRIGAL/HIGHBURY,INT,Melway,060G07,-37.85467,145.09384,WARRIGAL_RD N of HIGHBURY_RD,False
3804,RIVERSDALE/TRAFALGAR,INT,Melway,059K01,-37.83331,145.06247,TRAFALGAR_RD N of RIVERSDALE_RD,False
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT,Melway,059K02,-37.83738,145.06119,TRAFALGAR_RD NE of CAMBERWELL_RD,False
4030,BURKE/DONCASTER/KILBY/HIGH,INT,Melway,045K02,-37.79561,145.06251,BURKE_RD S of DONCASTER_RD,False
4032,BURKE/BELMORE/HARP,INT,Melway,045K04,-37.80202,145.06127,BURKE_RD N of HARP_RD,False
4034,BURKE/COTHAM/WHITEHORSE,INT,Melway,045K07,-37.81147,145.05946,BURKE_RD N OF WHITEHORSE_RD,False
4035,BURKE/BARKERS/MONT ALBERT,INT,Melway,045J09,-37.8172654,145.0583603,BURKE_RD N of MONT ALBERT_RD,False
4040,BURKE/CAMBERWELL/RIVERSDALE,INT,Melway,059J01,-37.83256,145.05545,BURKE_RD N of RIVERSDALE_RD,False
4043,BURKE/TOORAK,INT,Melway,059H05,-37.84683,145.05275,BURKE_RD N of TOORAK_RD,False
4051,DONCASTER/BULLEEN/SEVERN,INT,Melway,046B02,-37.79419,145.0696,DONCASTER_RD E of BULLEEN_RD,False
4057,BALWYN/BELMORE,INT,Melway,046E05,-37.80431,145.08197,BALWYN_RD N OF BELMORE_RD,False
4063,WHITEHORSE/BALWYN,INT,Melway,046D08,-37.81404,145.0801,BALWYN_RD N OF WHITEHORSE_RD,False
4262,BURWOOD/CHURCH,INT,Melway,2H-J07,-37.82155,145.01503,BRIDGE_RD SW of BURWOOD_RD,False
4263,BURWOOD/POWER,INT,Melway,045B10,-37.8228462,145.0251292,POWER_ST N of BURWOOD_RD,False
4264,BURWOOD/GLENFERRIE,INT,Melway,045D10,-37.82389,145.03409,GLENFERRIE_RD N of BURWOOD_RD,False
4266,BURWOOD/AUBURN,INT,Melway,045F11,0.0,0.0,AUBURN_RD N of BURWOOD_RD,True
4270,GLENFERRIE/RIVERSDALE,INT,Melway,045D12,-37.82951,145.03304,GLENFERRIE_RD N of RIVERSDALE_RD,False
4272,RIVERSDALE/TOORONGA,INT,Melway,045G12,-37.83186,145.04668,RIVERSDALE_RD E of TOORONGA_RD,False
4273,TOORAK/TOORONGA,INT,Melway,059F05,-37.84632,145.04378,TOORONGA_RD N of TOORAK_RD,False
4321,HIGH/HARP/VALERIE,INT,Melway,045G04,-37.800776,145.0494611,HIGH_ST NE OF HARP_ST,False
4324,COTHAM/GLENFERRIE,INT,Melway,045E06,-37.809274,145.037306,COTHAM_RD E OF GLENFERRIE_RD,False
4335,HIGH/CHARLES,INT,Melway,045D05,-37.80624,145.03518,HIGH_ST NE of CHARLES_ST,False
4812,SWAN/MADDEN,INT,Melway,2H-J11,-37.82859,145.01644,SWAN_ST NE of MADDEN_GV,False
4821,VICTORIA/BURNLEY/WALMER,INT,Melway,2H-F02,-37.81285,145.00849,WALMER_ST N OF VICTORIA_ST,False
